japan_year,city,country,japan_temp,global_year,global_temp,avg_local,avg_global
1845,Tokyo,Japan,11.95,1845,7.85,,
1846,Tokyo,Japan,12.4,1846,8.55,,
1847,Tokyo,Japan,12.21,1847,8.09,,
1848,Tokyo,Japan,12.14,1848,7.98,,
1849,Tokyo,Japan,12.14,1849,7.98,,
1850,Tokyo,Japan,11.71,1850,7.9,,
1851,Tokyo,Japan,11.76,1851,8.18,12.04,8.18
1852,Tokyo,Japan,11.73,1852,8.1,12.01,8.1
1853,Tokyo,Japan,11.86,1853,8.04,11.94,8.04
1854,Tokyo,Japan,12.24,1854,8.21,11.94,8.21
1855,Tokyo,Japan,12.56,1855,8.11,12.00,8.11
1856,Tokyo,Japan,12.06,1856,8,11.99,8
1857,Tokyo,Japan,11.94,1857,7.76,12.02,7.76
1858,Tokyo,Japan,12.23,1858,8.1,12.09,8.1
1859,Tokyo,Japan,12.15,1859,8.25,12.15,8.25
1860,Tokyo,Japan,11.72,1860,7.96,12.13,7.96
1861,Tokyo,Japan,11.79,1861,7.85,12.06,7.85
1862,Tokyo,Japan,11.73,1862,7.56,11.95,7.56
1863,Tokyo,Japan,12.45,1863,8.11,12.00,8.11
1864,Tokyo,Japan,11.95,1864,7.98,12.00,7.98
1865,Tokyo,Japan,12.39,1865,8.18,12.03,8.18
1866,Tokyo,Japan,11.58,1866,8.29,11.94,8.29
1867,Tokyo,Japan,12.46,1867,8.44,12.05,8.44
1868,Tokyo,Japan,12.25,1868,8.25,12.12,8.25
1869,Tokyo,Japan,12.03,1869,8.43,12.16,8.43
1870,Tokyo,Japan,16.12,1870,8.2,12.68,8.2
1871,Tokyo,Japan,12.12,1871,8.12,12.71,8.12
1872,Tokyo,Japan,12,1872,8.19,12.65,8.19
1873,Tokyo,Japan,11.53,1873,8.35,12.64,8.35
1874,Tokyo,Japan,12.33,1874,8.43,12.63,8.43
1875,Tokyo,Japan,12.17,1875,7.86,12.61,7.86
1876,Tokyo,Japan,12.39,1876,8.08,12.67,8.08
1877,Tokyo,Japan,12.73,1877,8.54,12.18,8.54
1878,Tokyo,Japan,12.24,1878,8.83,12.20,8.83
1879,Tokyo,Japan,12.82,1879,8.17,12.32,8.17
1880,Tokyo,Japan,12.43,1880,8.12,12.44,8.12
1881,Tokyo,Japan,12.15,1881,8.27,12.42,8.27
1882,Tokyo,Japan,12.29,1882,8.13,12.44,8.13
1883,Tokyo,Japan,11.84,1883,7.98,12.36,7.98
1884,Tokyo,Japan,11.18,1884,7.77,12.14,7.77
1885,Tokyo,Japan,11.53,1885,7.92,12.03,7.92
1886,Tokyo,Japan,12.44,1886,7.95,11.98,7.95
1887,Tokyo,Japan,12.25,1887,7.91,11.95,7.91
1888,Tokyo,Japan,12.01,1888,8.09,11.93,8.09
1889,Tokyo,Japan,11.66,1889,8.32,11.84,8.32
1890,Tokyo,Japan,13.5,1890,7.97,12.08,7.97
1891,Tokyo,Japan,12.42,1891,8.02,12.26,8.02
1892,Tokyo,Japan,12.1,1892,8.07,12.34,8.07
1893,Tokyo,Japan,11.71,1893,8.06,12.24,8.06
1894,Tokyo,Japan,12.92,1894,8.16,12.33,8.16
1895,Tokyo,Japan,12.22,1895,8.15,12.36,8.15
1896,Tokyo,Japan,12.33,1896,8.21,12.46,8.21
1897,Tokyo,Japan,11.72,1897,8.29,12.20,8.29
1898,Tokyo,Japan,12.49,1898,8.18,12.21,8.18
1899,Tokyo,Japan,12.32,1899,8.4,12.24,8.4
1900,Tokyo,Japan,12.11,1900,8.5,12.30,8.5
1901,Tokyo,Japan,12.31,1901,8.54,12.21,8.54
1902,Tokyo,Japan,12.22,1902,8.3,12.21,8.3
1903,Tokyo,Japan,12.34,1903,8.22,12.22,8.22
1904,Tokyo,Japan,12.29,1904,8.09,12.30,8.09
1905,Tokyo,Japan,12.03,1905,8.23,12.23,8.23
1906,Tokyo,Japan,11.66,1906,8.38,12.14,8.38
1907,Tokyo,Japan,11.97,1907,7.95,12.12,7.95
1908,Tokyo,Japan,11.72,1908,8.19,12.03,8.19
1909,Tokyo,Japan,12.04,1909,8.18,12.01,8.18
1910,Tokyo,Japan,12,1910,8.22,11.96,8.22
1911,Tokyo,Japan,12.81,1911,8.18,12.03,8.18
1912,Tokyo,Japan,12.32,1912,8.17,12.07,8.17
1913,Tokyo,Japan,11.72,1913,8.3,12.08,8.3
1914,Tokyo,Japan,13.1,1914,8.59,12.24,8.59
1915,Tokyo,Japan,12.74,1915,8.59,12.39,8.59
1916,Tokyo,Japan,13.1,1916,8.23,12.54,8.23
1917,Tokyo,Japan,12.04,1917,8.02,12.55,8.02
1918,Tokyo,Japan,12.19,1918,8.13,12.46,8.13
1919,Tokyo,Japan,12.59,1919,8.38,12.50,8.38
1920,Tokyo,Japan,12.69,1920,8.36,12.64,8.36
1921,Tokyo,Japan,12.12,1921,8.57,12.50,8.57
1922,Tokyo,Japan,12.86,1922,8.41,12.51,8.41
1923,Tokyo,Japan,12.64,1923,8.42,12.45,8.42
1924,Tokyo,Japan,12.35,1924,8.51,12.49,8.51
1925,Tokyo,Japan,12.19,1925,8.53,12.49,8.53
1926,Tokyo,Japan,11.74,1926,8.73,12.37,8.73
1927,Tokyo,Japan,12.19,1927,8.52,12.30,8.52
1928,Tokyo,Japan,12.42,1928,8.63,12.34,8.63
1929,Tokyo,Japan,12.44,1929,8.24,12.28,8.24
1930,Tokyo,Japan,13,1930,8.63,12.33,8.63
1931,Tokyo,Japan,12.16,1931,8.72,12.31,8.72
1932,Tokyo,Japan,12.67,1932,8.71,12.37,8.71
1933,Tokyo,Japan,12.69,1933,8.34,12.51,8.34
1934,Tokyo,Japan,11.85,1934,8.63,12.46,8.63
1935,Tokyo,Japan,12.25,1935,8.52,12.44,8.52
1936,Tokyo,Japan,12.09,1936,8.55,12.39,8.55
1937,Tokyo,Japan,12.86,1937,8.7,12.37,8.7
1938,Tokyo,Japan,12.6,1938,8.86,12.43,8.86
1939,Tokyo,Japan,12.72,1939,8.76,12.44,8.76
1940,Tokyo,Japan,12.66,1940,8.76,12.43,8.76
1941,Tokyo,Japan,12.61,1941,8.77,12.54,8.77
1942,Tokyo,Japan,12.8,1942,8.73,12.62,8.73
1943,Tokyo,Japan,12.48,1943,8.76,12.68,8.76
1944,Tokyo,Japan,12.16,1944,8.85,12.58,8.85
1945,Tokyo,Japan,11.62,1945,8.58,12.44,8.58
1946,Tokyo,Japan,12.86,1946,8.68,12.46,8.68
1947,Tokyo,Japan,11.99,1947,8.8,12.36,8.8
1948,Tokyo,Japan,13.18,1948,8.75,12.44,8.75
1949,Tokyo,Japan,12.62,1949,8.59,12.42,8.59
1950,Tokyo,Japan,13.21,1950,8.37,12.52,8.37
1951,Tokyo,Japan,12.72,1951,8.63,12.60,8.63
1952,Tokyo,Japan,12.65,1952,8.64,12.75,8.64
1953,Tokyo,Japan,12.51,1953,8.87,12.70,8.87
1954,Tokyo,Japan,12.76,1954,8.56,12.81,8.56
1955,Tokyo,Japan,13.42,1955,8.63,12.84,8.63
1956,Tokyo,Japan,12.61,1956,8.28,12.84,8.28
1957,Tokyo,Japan,12.66,1957,8.73,12.76,8.73
1958,Tokyo,Japan,13.09,1958,8.77,12.81,8.77
1959,Tokyo,Japan,13.5,1959,8.73,12.94,8.73
1960,Tokyo,Japan,13.26,1960,8.58,13.04,8.58
1961,Tokyo,Japan,13.66,1961,8.8,13.17,8.8
1962,Tokyo,Japan,13.01,1962,8.75,13.11,8.75
1963,Tokyo,Japan,12.71,1963,8.86,13.13,8.86
1964,Tokyo,Japan,12.93,1964,8.41,13.17,8.41
1965,Tokyo,Japan,12.27,1965,8.53,13.05,8.53
1966,Tokyo,Japan,12.81,1966,8.6,12.95,8.6
1967,Tokyo,Japan,12.85,1967,8.7,12.89,8.7
1968,Tokyo,Japan,12.75,1968,8.52,12.76,8.52
1969,Tokyo,Japan,12.64,1969,8.6,12.71,8.6
1970,Tokyo,Japan,12.35,1970,8.7,12.66,8.7
1971,Tokyo,Japan,12.52,1971,8.6,12.60,8.6
1972,Tokyo,Japan,13.17,1972,8.5,12.73,8.5
1973,Tokyo,Japan,12.96,1973,8.95,12.75,8.95
1974,Tokyo,Japan,12.23,1974,8.47,12.66,8.47
1975,Tokyo,Japan,12.72,1975,8.74,12.66,8.74
1976,Tokyo,Japan,12.19,1976,8.35,12.59,8.35
1977,Tokyo,Japan,12.94,1977,8.85,12.68,8.85
1978,Tokyo,Japan,13.05,1978,8.69,12.75,8.69
1979,Tokyo,Japan,13.83,1979,8.73,12.85,8.73
1980,Tokyo,Japan,12.35,1980,8.98,12.76,8.98
1981,Tokyo,Japan,12.06,1981,9.17,12.73,9.17
1982,Tokyo,Japan,12.91,1982,8.64,12.76,8.64
1983,Tokyo,Japan,12.64,1983,9.03,12.83,9.03
1984,Tokyo,Japan,11.98,1984,8.69,12.69,8.69
1985,Tokyo,Japan,12.9,1985,8.66,12.67,8.66
1986,Tokyo,Japan,12.22,1986,8.83,12.44,8.83
1987,Tokyo,Japan,13.41,1987,8.99,12.59,8.99
1988,Tokyo,Japan,12.44,1988,9.2,12.64,9.2
1989,Tokyo,Japan,13.35,1989,8.92,12.71,8.92
1990,Tokyo,Japan,14.14,1990,9.23,12.92,9.23
1991,Tokyo,Japan,13.32,1991,9.18,13.11,9.18
1992,Tokyo,Japan,12.94,1992,8.84,13.12,8.84
1993,Tokyo,Japan,12.49,1993,8.87,13.16,8.87
1994,Tokyo,Japan,13.78,1994,9.04,13.21,9.04
1995,Tokyo,Japan,12.98,1995,9.35,13.29,9.35
1996,Tokyo,Japan,12.61,1996,9.04,13.18,9.04
1997,Tokyo,Japan,13.43,1997,9.2,13.08,9.2
1998,Tokyo,Japan,13.74,1998,9.52,13.14,9.52
1999,Tokyo,Japan,13.78,1999,9.29,13.26,9.29
2000,Tokyo,Japan,13.5,2000,9.2,13.40,9.2
2001,Tokyo,Japan,13.13,2001,9.41,13.31,9.41
2002,Tokyo,Japan,13.42,2002,9.57,13.37,9.57
2003,Tokyo,Japan,12.89,2003,9.53,13.41,9.53
2004,Tokyo,Japan,14.05,2004,9.32,13.50,9.32
2005,Tokyo,Japan,12.99,2005,9.7,13.39,9.7
2006,Tokyo,Japan,13.28,2006,9.53,13.32,9.53
2007,Tokyo,Japan,13.68,2007,9.73,13.35,9.73
2008,Tokyo,Japan,13.31,2008,9.43,13.37,9.43
2009,Tokyo,Japan,13.55,2009,9.51,13.39,9.51
2010,Tokyo,Japan,13.82,2010,9.7,13.53,9.7
2011,Tokyo,Japan,13.32,2011,9.52,13.42,9.52
2012,Tokyo,Japan,13.11,2012,9.51,13.44,9.51
2013,Tokyo,Japan,13.91,2013,9.61,13.53,9.61
