tweet_id,timestamp,source,rating_numerator,rating_denominator,name,floofer,age_bracket,retweet_count,favorite_count,prediction
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,13,10,Phineas,None,None,7202,34567,Not_dog
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,13,10,Tilly,None,None,5408,29967,Chihuahua
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,12,10,Archie,None,None,3574,22549,Chihuahua
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,13,10,Darla,None,None,7417,37795,Labrador_retriever
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,12,10,Franklin,None,None,7965,36094,basset
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,13,10,None,None,None,2674,18198,Chesapeake_Bay_retriever
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,13,10,Jax,None,None,1719,10601,Appenzeller
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,13,10,None,None,None,16208,58160,Pomeranian
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,13,10,Zoey,None,None,3718,25078,Irish_terrier
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,14,10,Cassie,None,doggo,6261,28588,Pembroke
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,13,10,Koda,None,None,6309,27613,Samoyed
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,13,10,Bruno,None,None,4283,25116,French_bulldog
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,13,10,None,None,puppo,8576,43019,Pembroke
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,12,10,Ted,None,None,3830,24195,French_bulldog
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,13,10,Stuart,None,puppo,1929,13624,golden_retriever
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,13,10,Oliver,None,None,4569,22593,whippet
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,12,10,Jim,None,None,3843,26187,golden_retriever
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,13,10,Zeke,None,None,3635,22946,golden_retriever
888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,13,10,Ralphus,None,None,2959,17713,Siberian_husky
888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,12,10,Gerald,None,None,2977,19564,French_bulldog
887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,13,10,Jeffrey,None,None,4649,27216,basset
887517139158093824,2017-07-19 03:39:09+00:00,Twitter for iPhone,14,10,such,None,None,10093,41646,Not_dog
887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,13,10,Canela,None,None,15423,61594,Pembroke
887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,13,10,None,None,None,9042,30227,Mexican_hairless
887101392804085760,2017-07-18 00:07:08+00:00,Twitter for iPhone,12,10,None,None,None,5114,27565,Samoyed
886983233522544640,2017-07-17 16:17:36+00:00,Twitter for iPhone,13,10,Maya,None,None,6530,31106,Chihuahua
886736880519319552,2017-07-16 23:58:41+00:00,Twitter for iPhone,13,10,Mingus,None,None,2720,10729,kuvasz
886680336477933568,2017-07-16 20:14:00+00:00,Twitter for iPhone,13,10,Derek,None,None,3840,20191,Not_dog
886366144734445568,2017-07-15 23:25:31+00:00,Twitter for iPhone,12,10,Roscoe,None,pupper,2707,18970,French_bulldog
886258384151887873,2017-07-15 16:17:19+00:00,Twitter for iPhone,13,10,Waffles,None,None,5420,25113,pug
885984800019947520,2017-07-14 22:10:11+00:00,Twitter for iPhone,12,10,Jimbo,None,None,5765,29246,Blenheim_spaniel
885528943205470208,2017-07-13 15:58:47+00:00,Twitter for iPhone,13,10,Maisey,None,None,5488,32306,pug
885311592912609280,2017-07-13 01:35:06+00:00,Twitter for iPhone,13,10,Lilly,None,None,15856,0,Labrador_retriever
885167619883638784,2017-07-12 16:03:00+00:00,Twitter for iPhone,13,10,None,None,None,3757,19649,malamute
884925521741709313,2017-07-12 00:01:00+00:00,Twitter for iPhone,12,10,Earl,None,None,15456,68852,Italian_greyhound
884876753390489601,2017-07-11 20:47:12+00:00,Twitter for iPhone,13,10,Lola,None,None,4789,24960,chow
884562892145688576,2017-07-11 00:00:02+00:00,Twitter for iPhone,13,10,Kevin,None,None,4022,21804,pug
884441805382717440,2017-07-10 15:58:53+00:00,Twitter for iPhone,14,10,None,None,None,4904,24392,Pembroke
884162670584377345,2017-07-09 21:29:42+00:00,Twitter for iPhone,12,10,Yogi,None,doggo,2556,18340,German_shepherd
883838122936631299,2017-07-09 00:00:04+00:00,Twitter for iPhone,12,10,Noah,None,None,2939,19613,Doberman
883482846933004288,2017-07-08 00:28:19+00:00,Twitter for iPhone,5,10,Bella,None,None,8494,41130,golden_retriever
883360690899218434,2017-07-07 16:22:55+00:00,Twitter for iPhone,13,10,Grizzwald,floofer,None,3162,20391,chow
883117836046086144,2017-07-07 00:17:54+00:00,Twitter for iPhone,13,10,None,None,None,5679,33287,golden_retriever
882992080364220416,2017-07-06 15:58:11+00:00,Twitter for iPhone,13,10,Rusty,None,None,3319,21452,Eskimo_dog
882762694511734784,2017-07-06 00:46:41+00:00,Twitter for iPhone,12,10,Gus,None,pupper,4205,25341,Labrador_retriever
882627270321602560,2017-07-05 15:48:34+00:00,Twitter for iPhone,13,10,Stanley,None,None,5207,25162,Pembroke
882268110199369728,2017-07-04 16:01:23+00:00,Twitter for iPhone,13,10,Alfy,None,None,9937,40128,golden_retriever
882045870035918850,2017-07-04 01:18:17+00:00,Twitter for iPhone,13,10,Koko,None,None,4185,26340,golden_retriever
881906580714921986,2017-07-03 16:04:48+00:00,Twitter for iPhone,12,10,Rey,None,None,2923,21916,Weimaraner
881666595344535552,2017-07-03 00:11:11+00:00,Twitter for iPhone,13,10,Gary,None,None,9197,45567,Saluki
881536004380872706,2017-07-02 15:32:16+00:00,Twitter for iPhone,14,10,None,None,pupper,13761,44457,Samoyed
881268444196462592,2017-07-01 21:49:04+00:00,Twitter for iPhone,12,10,Elliot,None,None,4590,20942,Not_dog
880935762899988482,2017-06-30 23:47:07+00:00,Twitter for iPhone,13,10,Louis,None,None,2399,15376,Not_dog
880872448815771648,2017-06-30 19:35:32+00:00,Twitter for iPhone,12,10,None,None,None,3283,19145,Pembroke
880465832366813184,2017-06-29 16:39:47+00:00,Twitter for iPhone,12,10,Bella,None,None,5342,25550,golden_retriever
880221127280381952,2017-06-29 00:27:25+00:00,Twitter for iPhone,12,10,Jesse,None,None,3574,24218,Chihuahua
880095782870896641,2017-06-28 16:09:20+00:00,Twitter for iPhone,11,10,None,None,None,3743,24849,miniature_pinscher
879862464715927552,2017-06-28 00:42:13+00:00,Twitter for iPhone,13,10,Romeo,None,None,2998,20158,basset
879492040517615616,2017-06-27 00:10:17+00:00,Twitter for iPhone,12,10,Bailey,None,None,2714,21164,German_short-haired_pointer
879415818425184262,2017-06-26 19:07:24+00:00,Twitter for iPhone,13,10,Duddles,None,None,38416,94971,English_springer
879376492567855104,2017-06-26 16:31:08+00:00,Twitter for iPhone,12,10,Jack,None,None,2703,15166,Labrador_retriever
879050749262655488,2017-06-25 18:56:45+00:00,Twitter for iPhone,11,10,Steven,None,None,4055,20262,Not_dog
879008229531029506,2017-06-25 16:07:47+00:00,Twitter for iPhone,13,10,Beau,None,None,2308,17134,vizsla
878776093423087618,2017-06-25 00:45:22+00:00,Twitter for iPhone,13,10,Snoopy,None,puppo,3528,17487,Italian_greyhound
